title;DOI;task;type;max component;max coordinative;max dynamic;assigend risk;assigned expertise;proxy or actual;risk;required expertise;justification;year
Progressive disclossure: empirically motivated approaches to designing effective transparency;https://doi.org/10.1145/3301275.3302322;E-meter: algorithm that assesses the positivity/negativity of [their] writing. (emotional analytics);multi;4;3;0;0;0;proxy;not mentioned;users are knowledgeable about their own feelings and experiences,; yes;2019
COGAM: measuring and moderating cognitive load in machine learning model explanations;https://doi.org/10.1145/3313831.3376615;house price prediction: A user is required to study an explanation visualization about a machine learning (ML) model, specifically, housing price prediction on the Boston Housing dataset and demonstrate their understanding through human simulatability tasks.;regression;9;15;0;1;1;proxy;not mentioned;This is an intuitive lay problem to simplify the task for participants;no;2020
Will you accept an imperfect AI? Exploring designs for adjusting end-user expectations of AI systems;https://doi.org/10.1145/3290605.3300641;meeting request detection from free text of emails - mimics the Inbox of a web version of a popular email client - MS Outlook;binary;3;40;1;0;0;actual;not mentioned;not mentioned - no;no;2019
I think I get your point, AI! the illusion of explanatory depth in explainable AI;https://doi.org/10.1145/3397481.3450644;loan prediction: We put our study participants in the shoes of a private lender on a fictional crowd lending platform;regression;12;33;135;1;1;proxy;not mentioned ;not mentioned - yes;no;2021
Explainable Active Learning (XAL): An Empirical Study of How Local Explanations Impact Annotator Experience;https://doi.org/10.48550/arXiv.2001.09219;income prediction: for a task of predicting whether the annual income of an individual is more or less than $80,000. The task for the participants was to judge the income level of instances that the system selected to learn from;binary;15;7;0;1;1;actual;not mentioned ;We aimed to design a prediction task that would not require deep domain expertise;no;2020
To trust or think: cognitive forcing functions can reduce ovrreliance on AI in AI-assissted decision-making;https://doi.org/10.1145/3449287;nutrition prediction: Participants were shown meal images and were asked to replace the ingredient highest in carbohy- drates on the plate, with an ingredient that was low in carbohydrates, but similar in flavor.;multi;5;26;156;0;1;actual;not mentioned ;Accessing experts such as judges, or clinicians for experiments is notoriously challenging and costly. We, therefore, designed the task around nutrition as an approachable domain for laypeople.;no;2021
Let me explain: impact of personal and impersonal explanations on trsut in recommender systems;https://doi.org/10.1145/3290605.3300717;movie recommendation;recoms;2;4;0;0;0;actual;not mentioned ;we wanted participants to be familiar with the domain;somehow;2019
Do I trust my machine teammate? an investigation from perception to decision;https://doi.org/10.1145/3301275.3302277;quality control task in a drinking glass making factory. The users were asked to determine the condition of glasses, a binary choice between good or faulty.;binary;3;420;0;0;0;actual;not mentioned;not specific background were required to complete the experiment.;somehow;2019
Manipulating and measuring model interpretability;https://doi.org/10.1145/3411764.3445315;Experiment 1 & 2 & 3: real-estate valuation, in which machine learning models are used to predict the selling prices of properties;regression;11;24;12;1;1;proxy and actual;not mentioned;We conducted our experiments on laypeople, as laypeople represent one type of stakeholder that might potentially use or be affected by machine learning models;yes;2021
Does the whole exceed its parts? the effect of AI explanations on complementary team performance;https://doi.org/10.1145/3411764.3445717;text classification: sentiment analysis of book and beer reviews + question anwering;multi;6;50;0;0;0;actual;not mentioned;it requires little domain expertise;somehow;2021
Are explanations helpful? a comparative study of the effects of explanations in AI-assisted decision-making;https://doi.org/10.1145/3397481.3450650;recidivism prediction: participants were asked to make a prediction on whether this defendant would reoffend within two years.  & forest cover prediction: participants were asked to make a prediction on whether this area is primarily covered by the spruce-fir forest. ;binary;11;64;32;1;1;actual;not mentioned;yes recidivism: participants with some, forest: participants with limited domain expetise;yes;2021
Human reliance on machine learning models when performance feedback is limited;https://doi.org/10.1145/3411764.3445562;predict the outcome of speed dating events;binary;24;60;30;0;0;actual;not mentioned;human subjects do not need to possess specialized knowledge to make predictions;somehow;2021
A human-AI collaborative approach for clinical decision making on rehabilitation assessment;https://doi.org/10.1145/3411764.3445472;stroke rehabilitation assessment;binary;25;60;0;1;1;actual;high;therapists with 6 years of experience;yes;2021
Data-centric explanations: explaning training data of machine learning systems to promote transparency;https://doi.org/10.1145/3411764.3445736;Predictive Bail Decisions and Facial Expression Recognition, Automated Admission Decisions and Automated Speech Recognition;binary;-1;8;0;1;1;proxy;high-low;experts and non-experts - explore role of expertise;no;2021
human decision making with machine assistance: an experiment on bailing and jailing;https://doi.org//10.1145/3359280;recidivism prediction: participants are asked whether they believe the defendant will commit another crime in the next 2 years or not.;binary;11;100;50;1;1;actual;high;yes;yes;2019
visualizing uncertainty and alternatives in event sequence prediction;https://doi.org/10.1145/3290605.3300803;marketing email prediction;multi;3;81;0;0;1;actual;not mentioned;We made sure all the participants had taken statistics courses and had no difficulty in understanding the probabilities in prediction.;somehow;2019
The principles and limits of algorithm-in-the-loop decision making;https://doi.org/10.1145/3359152;pretrial detetion and financial lending risk assessment;multi;10;80;40;1;1;actual;high;judges or loan officers but laypeople involved;no;2019
Explaining models: an empirical study of how explanations impact fairness judgement;https://doi.org/10.1145/3301275.3302310;recidivism prediction;binary;8;12;6;1;1;actual;not mentioned;the goal is not the actual users of the system;somehow;2019
Exploring and promoting diagnostic transparency and explainability in online symptom checkers;https://doi.org/10.1145/3411764.3445101;covid online symptom checkers;recoms;7;3;-1000;1;0;actual;high;not mentioned;yes;2021
Proxy tasks and subjective measures can be misleading in evaluating explainable AI systems;https://doi.org/10.1145/3377325.3377498;nutrition-related task;binary;3;24;0;0;1;proxy and actual;not mentioned;we designed the task around nutrition because it is generally accessible and usefull for general audience;somehow;2020
Procedural justice in algorithmic fairness: leveraging transparency and outcome control for fair algorithmic mediation;https://doi.org/10.1145/3359284;good (food in this study) deivision: aims to fairly divide any kind of goods among two or more individuals;multi;17;3;32768;0;0;actual;low;not mentioned  ;yes;2019
Anchoring bias affects mental model formation and user reliance in explainable AI systems;https://doi.org/10.1145/3397481.3450639;cooking domain: We designed a video activity searching tool to allow users to build specific queries and sort the videos from the dataset. system was designed to identify cooking-related tasks in a kitchen- the main task had participants verify nine relevant kitchen policies listed in a sidebar.;retrieval;10;9;1890;0;0;actual;not mentioned;users are novices and do not require any certain expertise or professional training;somehow;2021
A case for human-in-the-loop: decisions in the presence of erroneous algorithmic scores;http://dx.doi.org/10.1145/3313831.3376638;child welfare: whether a call concerning potential child neglect or maltreatment should be screened in for investigation - The call worker decides whether to screen in the call for investigation.;binary;3;-1;0;1;1;actual;high;experts;no;2020
